sacrifice_no;sacrifice_time;sacrifice_price;empty_share;shareholder_1;shareholder_2;shareholder_3;shareholder_4;shareholder_5;shareholder_6;shareholder_7
187;05:30;38000;;Hamish Brierly;Lexine Budgett1;Fanny Fowlston;Bert Elwyn;Freddy Kelle;Chandal Iceton;Aeriell Castellucci
188;05:45;40000;;Gabriella Kencott;Allin McAneny1;Clement Gomm;Jacob Klaessen;Verina Castiglione;Thalia Macartney;Carolan Gulley
189;06:00;32000;;Mellisa Corse;Whitney Cardenosa1;Dalia Andrzejowski;Addie Deny;Tome Marcq;Reid Fergie;Lonni Fagan
190;06:15;34000;;Donetta Bearcock;Griswold Kinney1;Janie Bullcock;Elijah Coryndon;Talia Longson;Ellynn Oldacres;Gretel Bowditch
191;06:30;36000;;Glenna Lynskey;Algernon Rudgard1;Dorena Ickowics;Nikolai Loynes;Hercules Paoletti;Kordula Plumridege;Alia Tremelling
192;06:45;38000;;Edee Sommerfeld;Torey Marielle1;Vail Brosetti;Vernen Thaw;Lelia Sterman;Fred Trevena;Kipp Cuming
193;07:00;40000;;Crichton Pasby;Dale Bartram1;Ardelia Bugdall;Peter Normavell;Eugenius Hortop;Codee Jarritt;Berri Iacovazzi
194;07:15;30000;;Guillaume Kits;Morna Grinaugh1;Stefanie Louden;Jeremiah Brunone;Andonis Herion;Hugo Worters;Honey Brumbye
195;07:30;32000;;Ardra Doggett;Freeland Romans1;Rahel Stallebrass;Clerkclaude Luter;Alwyn Hartlebury;Melitta Rycraft;Pearline Wilman
196;07:45;34000;;Jonathon Spelling;Huey Ankers;Claiborne Stanger;Bebe Saer;Tobye Bolte;Karmen Shalcras;Weylin Clemmow
197;08:00;36000;;Jackie Bartle;Kari Vautier;Panchito Amthor;Curcio Vittore;Omero Lavington;Hugh Creyke;Teri Turpin
198;08:15;38000;;Bengt Faichnie;Sashenka Truwert;Hanan Hearne;Taber Bille;Ivory Marchetti;Susannah Fellgett;Brock Brezlaw
199;08:30;40000;;Emelina Cardow;Lishe Gilbee;Carr Allaker;Aldwin Haddington;Kerby Beric;Cordy Aird;Gaston Grimoldby
200;08:45;30000;;Christophorus Salack;Christan Ayscough;Charil Dyball;Garner Blissitt;Wolf Prewer;Felix Olfert;Sandor Phoebe
